Date,Open,High,Low,Close,Volume,Adj Close
2005-10-03,44.15,47.55,43.30,47.31,15793800,38.79
2005-09-01,44.95,46.48,42.31,43.82,21842000,35.93
2005-08-01,49.62,49.87,44.70,44.96,13142700,36.86
2005-07-01,48.25,50.69,48.15,49.35,9510600,40.33
2005-06-01,47.25,50.30,47.21,48.20,11310400,39.39
2005-05-02,47.48,49.46,46.60,47.23,12692200,38.60
2005-04-01,50.25,50.50,46.20,47.14,16875800,38.41
2005-03-01,52.01,53.49,50.06,50.11,17717600,40.82
2005-02-01,52.40,53.74,51.10,51.61,10127600,41.92
2005-01-03,53.75,54.60,52.22,52.40,9707700,42.57
2004-12-01,52.50,53.65,52.00,52.82,10911300,42.91
2004-11-01,53.92,57.89,52.06,52.06,12662700,42.19
2004-10-01,53.50,54.38,51.91,53.92,9325900,43.69
2004-09-01,52.46,53.96,51.10,53.20,10429700,43.11
2004-08-02,53.02,54.97,51.08,52.67,8859800,42.68
2004-07-01,53.10,54.19,51.50,53.01,10426800,42.85
2004-06-01,55.45,57.83,51.93,52.50,10886200,42.44
2004-05-03,57.00,57.52,53.45,55.73,10575000,45.05
2004-04-01,58.75,60.14,56.15,57.00,9610400,45.97
2004-03-01,59.67,61.31,57.27,59.69,10035100,48.14
2004-02-02,54.20,60.15,54.15,59.56,12529100,47.93
2004-01-02,53.35,54.95,51.58,53.85,10473700,43.33
